vis_000_intl, state, lga_code18, vis_000_tot, avg_spend_per_night_aud_intl, nights_000_intl, nights_000_tot, avg_spend_commercial_accom_per_night_aud_intl, avg_spend_per_night_aud_tot, spend_audm_dom_day, avg_spend_per_night_aud_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_tot, spend_audm_intl, avg_spend_per_trip_aud_tot, avg_spend_per_trip_aud_dom_ovrnt, spend_audm_dom_ovrnt, avg_spend_per_trip_aud_intl, avg_stay_nights_tot, vis_000_dom_day, avg_stay_nights_intl, avg_stay_nights_dom_ovrnt, nights_000_dom_ovrnt, vis_000_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_dom_ovrnt, spend_audm_tot, avg_spend_per_trip_aud_dom_day, lga_name18
2,"New South Wales","14200",251,46,27,345,null,128,18,135,null,1,4009,2891,43,1712,3,125,13,3,318,124,194,63,6774,"Inverell (A)"
13,"New South Wales","17310",1138,44,339,1524,49,126,107,150,150,15,3797,2771,178,841,3,633,27,2,1185,492,189,300,5913,"Tamworth Regional (A)"
790,"Queensland","32080",2866,187,4655,9333,217,227,184,266,229,873,1246,871,1244,905,5,993,6,4,4677,1083,243,2301,5393,"Cairns (R)"
3,"New South Wales","16610",348,42,39,613,null,95,16,99,null,2,4690,2567,57,2026,4,199,12,4,574,146,101,74,12561,"Richmond Valley (A)"
30,"Northern Territory","74660",249,252,91,652,308,149,10,132,181,23,2320,1823,74,1290,4,84,3,4,561,135,151,107,8258,"West Arnhem (R)"
45,"Victoria","21830",477,126,89,407,151,117,20,115,185,11,7028,4276,37,4014,2,276,2,2,319,157,205,68,13691,"Corangamite (S)"
2,"Victoria","20260",259,41,67,323,null,108,14,126,null,3,5336,3292,32,669,3,151,37,2,256,106,169,49,11098,"Ararat (RC)"
2,"New South Wales","18020",263,47,26,321,null,117,10,123,null,1,5576,3997,36,1695,2,115,13,2,296,145,158,47,12061,"Warrumbungle Shire (A)"
5,"Victoria","26700",714,48,91,851,72,98,47,104,167,4,5477,3307,79,1241,3,447,17,3,760,261,179,130,9529,"Wangaratta (RC)"
101,"Queensland","32810",688,151,623,2352,166,233,25,263,249,94,1199,713,455,1075,6,262,6,5,1729,324,278,574,10681,"Douglas (S)"
14,"Western Australia","52730",326,85,48,567,127,149,17,155,194,4,3209,1822,81,3410,4,166,3,4,519,147,199,102,9719,"Denmark (S)"
4,"New South Wales","15300",null,42,115,539,46,121,null,143,133,5,null,2658,61,742,3,null,32,3,424,161,152,null,null,"Moree Plains (A)"
45,"Queensland","34770",1152,48,418,2249,69,138,79,158,155,20,2960,1846,290,2271,4,571,9,3,1832,535,174,389,7214,"Mackay (R)"
4,"Victoria","24900",659,26,136,1124,null,102,41,113,null,4,4232,2733,112,1097,4,350,35,3,988,305,156,156,8626,"Moira (S)"
5,"South Australia","41010",null,47,15,180,56,155,null,165,174,1,null,2428,27,7465,3,null,3,2,165,66,187,null,null,"Ceduna (DC)"
31,"New South Wales","16950",2785,91,200,4346,134,130,149,132,184,18,3905,2397,546,1683,3,1446,7,3,4146,1309,185,713,9710,"Shoalhaven (C)"
3,"Queensland","33610",332,34,78,508,null,104,33,117,null,3,3845,3667,50,1002,3,145,29,2,430,184,162,86,4336,"Goondiwindi (R)"
11,"Victoria","21450",787,39,328,590,null,59,40,85,null,13,10461,5232,22,829,5,661,31,2,262,116,null,75,16349,"Cardinia (S)"
14,"New South Wales","10250",816,71,132,1186,135,197,41,213,158,9,2973,1505,224,1521,3,465,9,3,1054,337,160,275,11319,"Ballina (A)"
4,"New South Wales","17620",259,70,99,387,null,87,12,94,null,7,5642,4438,27,522,3,136,27,2,288,120,130,46,11299,"Upper Hunter Shire (A)"
12,"South Australia","40310",901,70,172,611,80,191,77,238,209,12,4662,1735,104,991,3,708,14,2,438,181,257,193,9228,"Barossa (DC)"
3,"New South Wales","15750",245,50,42,429,null,101,9,107,null,2,4664,3403,41,1241,3,102,16,3,388,141,113,53,11143,"Narrabri (A)"
7,"Victoria","22910",1069,55,61,897,68,204,65,215,263,3,4300,2030,180,2168,2,696,8,2,836,366,270,249,10683,"Hepburn (S)"
5,"South Australia","44550",727,62,57,353,75,129,54,142,180,4,7341,2437,42,1434,3,620,11,3,295,102,194,99,11575,"Mount Barker (DC)"
9,"Tasmania","61210",194,54,54,232,63,127,9,148,162,3,5019,2949,26,2959,3,107,6,2,178,78,186,39,11556,"Circular Head (M)"
81,"New South Wales","11800",1613,53,676,3183,61,142,112,166,161,36,2865,1925,415,2264,4,733,8,3,2507,799,187,563,6535,"Coffs Harbour (C)"
14,"Northern Territory","73600",null,66,63,413,73,80,null,83,91,4,null,3185,29,3321,4,null,5,4,350,93,95,null,null,"Roper Gulf (R)"
10,"Tasmania","63610",319,69,108,452,100,114,21,129,160,7,4379,2452,44,1309,4,200,11,3,344,108,178,73,9539,"Kingborough (M)"
3,"Queensland","36580",589,45,75,539,null,67,26,71,null,3,9438,4809,33,820,3,429,27,3,463,157,88,62,16309,"Somerset (R)"
4,"South Australia","45040",597,38,101,344,53,94,44,118,121,4,7854,3731,29,1170,3,486,23,2,243,107,162,76,11141,"Murray Bridge (RC)"
2,"Tasmania","65410",141,101,8,142,null,214,7,221,null,1,3745,1731,30,3122,3,87,3,3,134,51,166,38,12250,"Waratah/Wynyard (M)"
135,"Queensland","33220",1522,65,613,3327,83,114,88,125,136,40,3259,1940,339,3371,4,731,5,4,2714,657,152,467,8273,"Fraser Coast (R)"
23,"Queensland","33960",1383,58,499,1604,85,94,83,110,157,29,5916,2671,122,777,5,1036,22,3,1105,325,189,234,12465,"Ipswich (C)"
15,"Western Australia","54310",390,37,377,1754,64,128,31,153,147,14,1527,934,210,1055,8,179,26,7,1378,196,179,255,5761,"Karratha (C)"
10,"Western Australia","52800",null,64,104,615,68,72,null,74,101,7,null,2468,38,1494,6,null,11,6,512,93,110,null,null,"Derby-West Kimberley (S)"
3,"South Australia","47800",173,71,22,181,117,94,5,97,126,2,7746,4051,15,2167,3,107,6,3,159,62,127,22,19988,"The Coorong (DC)"
37,"New South Wales","16400",1454,79,141,2304,105,201,70,209,207,11,2727,1471,452,3340,3,751,4,3,2163,666,212,533,10797,"Port Stephens (A)"
7,"Western Australia","53080",null,45,20,245,66,89,null,93,103,1,null,3473,21,7404,3,null,3,3,224,73,107,null,null,"Dundas (S)"
2,"New South Wales","12350",268,34,23,335,null,112,13,118,null,1,5278,3381,37,2867,3,142,10,3,312,125,148,51,10701,"Cowra (A)"
34,"Victoria","26730",961,66,281,1300,66,118,78,132,142,18,4165,2698,135,1825,3,564,8,3,1019,364,169,231,7272,"Warrnambool (C)"
3,"Queensland","36630",687,49,33,612,null,103,52,106,null,2,5999,3462,61,1769,3,472,12,3,579,212,157,114,9129,"South Burnett (R)"
10,"Tasmania","60610",362,65,70,367,85,107,36,116,142,5,4796,2566,35,2273,4,263,7,3,297,89,162,76,7237,"Burnie (C)"
4,"New South Wales","18710",476,36,50,397,null,104,28,114,null,2,6843,3685,40,2052,3,326,13,2,347,146,174,70,11612,"Yass Valley (A)"
3,"Tasmania","64210",275,43,62,201,42,117,19,150,127,3,6519,2886,21,1299,3,212,18,2,139,60,206,42,11264,"Meander Valley (M)"
null,"New South Wales","12730",null,null,null,null,null,null,9,122,null,null,null,3152,28,null,null,102,null,3,227,87,147,null,11025,"Edward River (A)"
15,"Northern Territory","70420",null,93,70,317,122,265,null,314,260,7,null,1593,77,2300,2,null,5,2,246,123,301,null,null,"Barkly (R)"
22,"South Australia","41330",null,72,46,346,75,102,null,106,121,3,null,3167,32,6719,3,null,2,3,299,101,134,null,null,"Coober Pedy (DC)"
16,"New South Wales","10050",1170,63,177,1249,86,172,128,190,172,11,293,455,204,706,3,705,11,2,1072,449,185,343,181,"Albury (C)"
2,"New South Wales","13850",null,41,23,235,null,108,null,115,null,1,null,4260,24,1989,2,null,12,2,211,104,141,null,null,"Hay (A)"
3,"Western Australia","53990",277,58,81,306,null,81,15,89,null,5,6935,4119,20,588,4,192,29,3,224,82,null,40,12584,"Harvey (S)"
9,"Western Australia","53570",662,60,88,486,73,105,36,116,115,5,7623,3716,46,1726,3,482,10,2,398,171,124,87,13542,"Gingin (S)"
12,"Victoria","22830",1110,42,367,1150,57,85,106,106,119,15,5445,3942,83,796,3,771,30,2,783,326,159,204,7299,"Greater Shepparton (C)"
17,"Tasmania","60210",314,106,46,517,141,105,13,105,170,5,4653,3458,49,3463,3,127,3,3,471,171,173,68,9523,"Break O'Day (M)"
4,"New South Wales","15270",655,37,56,948,40,146,32,152,224,2,3846,2788,136,2119,2,271,13,2,892,379,231,170,8418,"Mid-Western Regional (A)"
7,"New South Wales","13310",776,62,128,588,68,138,53,159,162,8,5778,3406,73,867,2,520,19,2,460,249,197,134,9789,"Goulburn Mulwaree (A)"
25,"Western Australia","55110",2232,73,347,1700,132,102,144,109,167,26,7031,2825,148,970,4,1790,14,3,1352,417,173,317,12409,"Mandurah (C)"
40,"Queensland","34590",1372,55,795,1714,71,85,106,110,135,44,5467,2846,101,912,5,1043,20,3,919,289,217,251,9872,"Logan (C)"
12,"New South Wales","14850",701,44,144,672,69,114,58,133,141,6,5214,2723,70,1883,3,498,12,3,528,191,164,134,8577,"Lismore (C)"
